category,words
cogproc,aint 
differ,aint 
focuspresent,aint 
relativ,air 
space,air 
affect,alarm* 
negemo,alarm* 
anx,alarm* 
drives,alarm* 
risk,alarm* 
bio,alcohol* 
health,alcohol* 
ingest,alcohol* 
leisure,alcohol* 
adj,alike 
compare,alike 
adj,alive 
bio,alive 
health,alive 
quant,all 
cogproc,all 
certain,all 
relig,alla 
relig,allah* 
bio,allerg* 
health,allerg* 
drives,alliance* 
affiliation,alliance* 
drives,allies 
affiliation,allies 
quant,allot 
cogproc,allot 
tentat,allot 
cogproc,allow* 
cause,allow* 
drives,allow* 
power,allow* 
social,ally 
friend,ally 
drives,ally 
affiliation,ally 
function,almost 
adverb,almost 
cogproc,almost 
tentat,almost 
adj,alone 
affect,alone 
negemo,alone 
sad,alone 
function,along 
prep,along 
quant,alot 
cogproc,alot 
tentat,alot 
function,already 
adverb,already 
focuspast,already 
relativ,already 
time,already 
affect,alright* 
posemo,alright* 
function,also 
adverb,also 
conj,also 
relig,altar* 
cogproc,alternativ* 
differ,alternativ* 
function,altho 
conj,altho 
function,although 
conj,although 
cogproc,although 
differ,although 
cogproc,altogether 
certain,altogether 
cogproc,always 
certain,always 
relativ,always 
time,always 
function,am 
auxverb,am 
verb,am 
focuspresent,am 
drives,amass* 
reward,amass* 
drives,amateur* 
power,amateur* 
affect,amaze* 
posemo,amaze* 
adj,amazing 
affect,amazing 
posemo,amazing 
affect,amazingly 
posemo,amazingly 
cogproc,ambigu* 
tentat,ambigu* 
drives,ambition 
achiev,ambition 
power,ambition 
work,ambition 
drives,ambitions 
achiev,ambitions 
power,ambitions 
work,ambitions 
adj,ambitious 
drives,ambitious 
achiev,ambitious 
power,ambitious 
work,ambitious 
drives,ambitiously 
achiev,ambitiously 
drives,ambitiousness 
achiev,ambitiousness 
work,ambitiousness 
relig,amen 
function,amid 
prep,amid 
function,amidst 
prep,amidst 
social,amigo* 
friend,amigo* 
drives,amigo* 
affiliation,amigo* 
relig,amish 
function,among* 
prep,among* 
relativ,among* 
space,among* 
affect,amor* 
posemo,amor* 
quant,amount 
quant,amounts 
bio,amput* 
health,amput* 
affect,amus* 
posemo,amus* 
leisure,amus* 
function,an 
article,an 
bio,anal 
body,anal 
cogproc,analy* 
insight,analy* 
work,analy* 
adj,ancient 
relativ,ancient 
time,ancient 
relativ,anciently 
time,anciently 
function,and 
conj,and 
relig,angel 
relig,angelic* 
relig,angels 
affect,anger* 
negemo,anger* 
anger,anger* 
adj,angrier 
compare,angrier 
affect,angrier 
negemo,angrier 
anger,angrier 
adj,angriest 
compare,angriest 
affect,angriest 
negemo,angriest 
anger,angriest 
adj,angry 
affect,angry 
negemo,angry 
anger,angry 
affect,anguish* 
negemo,anguish* 
bio,ankle* 
body,ankle* 
relativ,anniversar* 
time,anniversar* 
affect,annoy 
negemo,annoy 
anger,annoy 
affect,annoyed 
negemo,annoyed 
anger,annoyed 
adj,annoying 
affect,annoying 
negemo,annoying 
anger,annoying 
affect,annoys 
negemo,annoys 
anger,annoys 
relativ,annual* 
time,annual* 
social,anonymous* 
bio,anorexi* 
health,anorexi* 
ingest,anorexi* 
function,another 
pronoun,another 
ipron,another 
quant,another 
cogproc,answer* 
insight,answer* 
bio,antacid* 
health,antacid* 
ingest,antacid* 
affect,antagoni* 
negemo,antagoni* 
anger,antagoni* 
relativ,anterior 
space,anterior 
focusfuture,anticipate* 
focusfuture,anticipation 
bio,antidepressant* 
health,antidepressant* 
adj,antisocial 
bio,anus* 
body,anus* 
affect,anxiety 
negemo,anxiety 
anx,anxiety 
adj,anxious 
affect,anxious 
negemo,anxious 
anx,anxious 
affect,anxiously 
negemo,anxiously 
anx,anxiously 
affect,anxiousness 
negemo,anxiousness 
anx,anxiousness 
quant,any 
cogproc,any 
tentat,any 
function,anybod* 
pronoun,anybod* 
ipron,anybod* 
social,anybod* 
cogproc,anybod* 
tentat,anybod* 
cogproc,anyhow 
tentat,anyhow 
function,anymore 
pronoun,anymore 
ipron,anymore 
relativ,anymore 
time,anymore 
function,anyone* 
pronoun,anyone* 
ipron,anyone* 
social,anyone* 
cogproc,anyone* 
tentat,anyone* 
function,anything 
pronoun,anything 
ipron,anything 
cogproc,anything 
tentat,anything 
cogproc,anytime 
tentat,anytime 
relativ,anytime 
time,anytime 
function,anyway* 
adverb,anyway* 
function,anywhere 
adverb,anywhere 
cogproc,anywhere 
tentat,anywhere 
relativ,anywhere 
space,anywhere 
affect,aok 
posemo,aok 
cogproc,apart 
differ,apart 
relativ,apart 
space,apart 
home,apartment* 
affect,apath* 
negemo,apath* 
social,apolog* 
drives,apolog* 
power,apolog* 
affect,appall* 
negemo,appall* 
adj,apparent 
cogproc,apparent 
certain,apparent 
function,apparently 
adverb,apparently 
cogproc,apparently 
tentat,apparently 
verb,appear 
cogproc,appear 
tentat,appear 
percept,appear 
see,appear 
focuspresent,appear 
percept,appearance* 
see,appearance* 
verb,appeared 
cogproc,appeared 
tentat,appeared 
percept,appeared 
see,appeared 
focuspast,appeared 
cogproc,appearing 
tentat,appearing 
percept,appearing 
see,appearing 
verb,appears 
cogproc,appears 
tentat,appears 
percept,appears 
see,appears 
focuspresent,appears 
bio,appeti* 
ingest,appeti* 
work,applicant* 
work,applicat* 
affect,appreciat* 
posemo,appreciat* 
cogproc,appreciat* 
insight,appreciat* 
affect,apprehens* 
negemo,apprehens* 
anx,apprehens* 
cogproc,apprehens* 
tentat,apprehens* 
drives,apprehens* 
risk,apprehens* 
drives,apprentic* 
power,apprentic* 
work,apprentic* 
drives,approach 
reward,approach 
relativ,approach 
motion,approach 
adj,approachable 
social,approachable 
drives,approached 
reward,approached 
focuspast,approached 
relativ,approached 
motion,approached 
drives,approaches 
reward,approaches 
relativ,approaches 
motion,approaches 
drives,approaching 
reward,approaching 
focusfuture,approaching 
relativ,approaching 
motion,approaching 
adj,appropriate 
affect,approv* 
posemo,approv* 
drives,approv* 
power,approv* 
quant,approximat* 
cogproc,approximat* 
tentat,approximat* 
relativ,april 
time,april 
cogproc,arbitrar* 
tentat,arbitrar* 
bio,arch 
body,arch 
function,are 
auxverb,are 
verb,are 
focuspresent,are 
relativ,area* 
space,area* 
function,aren't 
auxverb,aren't 
negate,aren't 
verb,aren't 
cogproc,aren't 
differ,aren't 
focuspresent,aren't 
function,arent 
auxverb,arent 
negate,arent 
verb,arent 
cogproc,arent 
differ,arent 
focuspresent,arent 
affect,argh* 
negemo,argh* 
anger,argh* 
affect,argu* 
negemo,argu* 
anger,argu* 
social,argu* 
bio,arm 
body,arm 
social,armies 
drives,armies 
power,armies 
bio,armpit* 
body,armpit* 
bio,arms* 
body,arms* 
social,army 
drives,army 
power,army 
percept,aroma* 
function,around 
prep,around 
adverb,around 
relativ,around 
space,around 
bio,arous* 
body,arous* 
sexual,arous* 
relativ,arrival* 
motion,arrival* 
verb,arrive 
focuspresent,arrive 
relativ,arrive 
motion,arrive 
verb,arrived 
focuspast,arrived 
relativ,arrived 
motion,arrived 
verb,arrives 
focuspresent,arrives 
relativ,arrives 
motion,arrives 
relativ,arriving 
motion,arriving 
affect,arrogan* 
negemo,arrogan* 
bio,arse 
body,arse 
bio,arses 
body,arses 
leisure,art 
bio,arter* 
body,arter* 
bio,arthr* 
health,arthr* 
leisure,artist 
adj,artistic 
leisure,artists 
leisure,arts 
adj,artsy 
leisure,artsy 
function,as 
prep,as 
conj,as 
adj,as 
compare,as 
bio,asexual* 
sexual,asexual* 
affect,asham* 
negemo,asham* 
anx,asham* 
drives,asham* 
power,asham* 
verb,ask 
social,ask 
focuspresent,ask 
verb,asked 
social,asked 
focuspast,asked 
verb,asking 
social,asking 
verb,asks 
social,asks 
focuspresent,asks 
adj,asleep 
bio,asleep 
body,asleep 
bio,aspirin* 
health,aspirin* 
bio,ass 
body,ass 
affect,assault* 
negemo,assault* 
anger,assault* 
drives,assault* 
power,assault* 
social,assembl* 
adj,assertive 
drives,assertive 
power,assertive 
bio,asses 
body,asses 
affect,asshole* 
negemo,asshole* 
anger,asshole* 
bio,asshole* 
body,asshole* 
work,assign* 
work,assistan* 
drives,associate 
affiliation,associate 
work,associate 
work,associated 
drives,associates 
affiliation,associates 
work,associates 
drives,associating 
affiliation,associating 
work,associating 
drives,association 
affiliation,association 
work,association 
drives,associations 
affiliation,associations 
cogproc,assum* 
insight,assum* 
tentat,assum* 
affect,assur* 
posemo,assur* 
cogproc,assur* 
certain,assur* 
bio,asthma* 
health,asthma* 
function,at 
prep,at 
relativ,at 
space,at 
verb,ate 
bio,ate 
ingest,ate 
focuspast,ate 
leisure,athlete* 
adj,athletic 
leisure,athletic 
money,atm 
money,atms 
function,atop 
prep,atop 
relativ,atop 
space,atop 
affect,attack* 
negemo,attack* 
anger,attack* 
drives,attack* 
power,attack* 
drives,attain 
achiev,attain 
adj,attainable 
drives,attainable 
achiev,attainable 
focusfuture,attainable 
drives,attained 
achiev,attained 
drives,attaining 
achiev,attaining 
drives,attainment 
achiev,attainment 
drives,attains 
achiev,attains 
focuspresent,attend 
relativ,attend 
motion,attend 
drives,attendant 
power,attendant 
focuspast,attended 
relativ,attended 
motion,attended 
relativ,attending 
motion,attending 
focuspresent,attends 
relativ,attends 
motion,attends 
cogproc,attent* 
insight,attent* 
verb,attract 
affect,attract 
posemo,attract 
focuspresent,attract 
affect,attracted 
posemo,attracted 
focuspast,attracted 
affect,attracting 
posemo,attracting 
affect,attraction 
posemo,attraction 
adj,attractive 
verb,attracts 
affect,attracts 
posemo,attracts 
focuspresent,attracts 
cogproc,attribut* 
cause,attribut* 
money,auction* 
percept,audibl* 
hear,audibl* 
percept,audio* 
hear,audio* 
money,audit 
money,audited 
money,auditing 
money,auditor 
work,auditorium* 
money,auditors 
money,audits 
relativ,august 
time,august 
social,aunt* 
family,aunt* 
female,aunt* 
drives,authorit* 
achiev,authorit* 
power,authorit* 
drives,authorize 
power,authorize 
relativ,autumn 
time,autumn 
relativ,avenue* 
space,avenue* 
adj,average 
quant,average 
drives,averse 
risk,averse 
affect,aversi* 
negemo,aversi* 
anx,aversi* 
drives,aversi* 
risk,aversi* 
drives,avert* 
risk,avert* 
affect,avoid* 
negemo,avoid* 
anx,avoid* 
drives,avoid* 
risk,avoid* 
affect,award* 
posemo,award* 
drives,award* 
achiev,award* 
reward,award* 
work,award* 
cogproc,aware* 
insight,aware* 
function,away 
prep,away 
relativ,away 
space,away 
adj,awesome 
affect,awesome 
posemo,awesome 
adj,awesomer 
compare,awesomer 
adj,awesomest 
compare,awesomest 
adj,awful 
affect,awful 
negemo,awful 
adj,awfulest 
compare,awfulest 
function,awhile 
adverb,awhile 
relativ,awhile 
time,awhile 
affect,awkward 
negemo,awkward 
anx,awkward 
social,awkward 
social,awkwardness 
social,babe* 
friend,babe* 
social,babies 
family,babies 
social,baby 
family,baby 
social,bachelor 
male,bachelor 
social,bachelor'* 
male,bachelor'* 
social,bachelorette 
female,bachelorette 
social,bachelors 
male,bachelors 
function,back 
adverb,back 
relativ,back 
space,back 
time,back 
relativ,backward* 
motion,backward* 
space,backward* 
home,backyard 
bio,bacon* 
ingest,bacon* 
affect,bad 
negemo,bad 
drives,bad 
risk,bad 
affect,badly 
negemo,badly 
social,bae 
friend,bae 
drives,bae 
affiliation,bae 
bio,bake* 
ingest,bake* 
home,bake* 
bio,baking 
ingest,baking 
home,baking 
home,balcon* 
bio,bald 
body,bald 
drives,balk 
risk,balk 
leisure,ball 
leisure,ballet* 
bio,banana 
ingest,banana 
social,band 
leisure,band 
bio,bandage* 
health,bandage* 
bio,bandaid 
health,bandaid 
social,bands 
leisure,bands 
work,bank* 
money,bank* 
social,banter* 
drives,banter* 
affiliation,banter* 
relig,baptis* 
relig,baptiz* 
bio,bar 
ingest,bar 
leisure,bar 
function,barely 
adverb,barely 
cogproc,barely 
tentat,barely 
money,bargain* 
bio,bars 
ingest,bars 
leisure,bars 
leisure,baseball* 
verb,based 
cogproc,based 
cause,based 
affect,bashful* 
negemo,bashful* 
adj,basic 
function,basically 
adverb,basically 
cogproc,basis 
cause,basis 
leisure,basketball* 
affect,bastard* 
negemo,bastard* 
anger,bastard* 
leisure,bath* 
home,bath* 
affect,battl* 
negemo,battl* 
anger,battl* 
drives,battl* 
power,battl* 
social,bb 
bio,bbq 
ingest,bbq 
social,bby 
function,bc 
conj,bc 
cogproc,bc 
cause,bc 
social,bcc 
bio,bdsm 
sexual,bdsm 
function,be 
auxverb,be 
verb,be 
focuspresent,be 
leisure,beach* 
bio,bean* 
ingest,bean* 
bio,beard 
body,beard 
drives,beat 
achiev,beat 
power,beat 
affect,beaten 
negemo,beaten 
anger,beaten 
drives,beaten 
achiev,beaten 
power,beaten 
drives,beating 
power,beating 
drives,beats 
power,beats 
social,beau 
friend,beau 
male,beau 
adj,beautiful 
affect,beautiful 
posemo,beautiful 
percept,beautiful 
see,beautiful 
affect,beautify 
posemo,beautify 
percept,beautify 
see,beautify 
affect,beauty 
posemo,beauty 
percept,beauty 
see,beauty 
verb,became 
cogproc,became 
insight,became 
focuspast,became 
function,because 
conj,because 
cogproc,because 
cause,because 
function,become 
auxverb,become 
verb,become 
cogproc,become 
insight,become 
focuspresent,become 
function,becomes 
auxverb,becomes 
verb,becomes 
cogproc,becomes 
insight,becomes 
focuspresent,becomes 
function,becoming 
auxverb,becoming 
verb,becoming 
cogproc,becoming 
insight,becoming 
home,bed 
home,bedding 
home,bedroom* 
home,beds 
relativ,bedtime 
time,bedtime 
bio,beef 
ingest,beef 
function,been 
auxverb,been 
verb,been 
focuspast,been 
bio,beer* 
ingest,beer* 
leisure,beer* 
function,before 
prep,before 
adj,before 
compare,before 
relativ,before 
time,before 
verb,beg 
drives,beg 
power,beg 
verb,began 
focuspast,began 
relativ,began 
time,began 
drives,beggar* 
power,beggar* 
money,beggar* 
drives,begged 
power,begged 
focuspast,begged 
verb,begging 
drives,begging 
power,begging 
money,begging 
verb,begin 
focuspresent,begin 
relativ,begin 
time,begin 
drives,beginner 
power,beginner 
relativ,beginner 
time,beginner 
relativ,beginning* 
time,beginning* 
verb,begins 
focuspresent,begins 
relativ,begins 
time,begins 
verb,begs 
drives,begs 
power,begs 
focuspresent,begs 
relativ,begun 
time,begun 
relativ,behavio* 
motion,behavio* 
function,behind 
prep,behind 
relativ,behind 
space,behind 
function,being 
auxverb,being 
verb,being 
cogproc,belief* 
insight,belief* 
relig,belief* 
verb,believe 
cogproc,believe 
insight,believe 
focuspresent,believe 
verb,believed 
cogproc,believed 
insight,believed 
focuspast,believed 
verb,believes 
cogproc,believes 
insight,believes 
focuspresent,believes 
cogproc,believing 
insight,believing 
bio,bellies 
body,bellies 
bio,belly 
body,belly 
drives,belong* 
affiliation,belong* 
affect,beloved 
posemo,beloved 
social,beloved 
friend,beloved 
function,below 
prep,below 
drives,below 
power,below 
relativ,below 
space,below 
relativ,bend 
space,bend 
relativ,bending 
space,bending 
relativ,bends 
space,bends 
function,beneath 
prep,beneath 
relativ,beneath 
space,beneath 
affect,benefic* 
posemo,benefic* 
affect,benefit 
posemo,benefit 
drives,benefit 
reward,benefit 
affect,benefits 
posemo,benefits 
drives,benefits 
reward,benefits 
work,benefits 
affect,benefitt* 
posemo,benefitt* 
affect,benevolen* 
posemo,benevolen* 
affect,benign* 
relativ,bent 
space,bent 
affect,bereave* 
negemo,bereave* 
sad,bereave* 
function,beside 
prep,beside 
relativ,beside 
space,beside 
function,besides 
prep,besides 
cogproc,besides 
discrep,besides 
adj,best 
compare,best 
affect,best 
posemo,best 
drives,best 
achiev,best 
power,best 
reward,best 
adj,bestest 
affect,bestest 
posemo,bestest 
social,bestfriend* 
friend,bestfriend* 
drives,bestfriend* 
affiliation,bestfriend* 
affect,bestie 
posemo,bestie 
social,bestie 
friend,bestie 
affect,besties 
posemo,besties 
social,besties 
friend,besties 
cogproc,bet 
tentat,bet 
drives,bet 
reward,bet 
money,bet 
cogproc,bets 
tentat,bets 
drives,bets 
reward,bets 
money,bets 
adj,better 
compare,better 
affect,better 
posemo,better 
drives,better 
achiev,better 
reward,better 
cogproc,betting 
tentat,betting 
drives,betting 
reward,betting 
money,betting 
function,between 
prep,between 
drives,beware 
risk,beware 
function,beyond 
prep,beyond 
adverb,beyond 
relativ,beyond 
space,beyond 
social,bf 
friend,bf 
male,bf 
drives,bf 
affiliation,bf 
social,bf's 
friend,bf's 
male,bf's 
social,bff* 
friend,bff* 
drives,bff* 
affiliation,bff* 
social,bfs 
friend,bfs 
male,bfs 
drives,bfs 
affiliation,bfs 
bio,bi 
sexual,bi 
bio,bi-sexual* 
sexual,bi-sexual* 
relativ,biannu* 
time,biannu* 
relig,bible* 
relig,biblic* 
bio,bicep* 
body,bicep* 
leisure,bicyc* 
adj,big 
drives,big 
power,big 
relativ,big 
space,big 
adj,bigger 
compare,bigger 
drives,bigger 
power,bigger 
relativ,bigger 
space,bigger 
adj,biggest 
compare,biggest 
drives,biggest 
power,biggest 
relativ,biggest 
space,biggest 
leisure,bike* 
money,bill 
money,billed 
money,billing* 
number,billion* 
money,bills 
relativ,bimonth* 
time,bimonth* 
bio,binge* 
health,binge* 
ingest,binge* 
verb,binging 
bio,binging 
health,binging 
ingest,binging 
bio,biolog* 
work,biolog* 
bio,bipolar 
health,bipolar 
leisure,birdie* 
relativ,birth* 
time,birth* 
relig,bishop* 
quant,bit 
affect,bitch* 
negemo,bitch* 
anger,bitch* 
money,bitcoin 
quant,bits 
adj,bitter 
affect,bitter 
negemo,bitter 
anger,bitter 
percept,bitter 
affect,bitterly 
negemo,bitterly 
anger,bitterly 
percept,bitterly 
affect,bitterness 
negemo,bitterness 
anger,bitterness 
percept,bitterness 
affect,bittersweet 
percept,bittersweet 
relativ,biweek* 
time,biweek* 
work,biz 
bio,bj 
sexual,bj 
percept,black 
see,black 
work,blackboard* 
leisure,blackjack 
bio,bladder* 
body,bladder* 
affect,blam* 
negemo,blam* 
anger,blam* 
social,blam* 
cogproc,blatant* 
certain,blatant* 
work,bldg* 
bio,bleed* 
body,bleed* 
health,bleed* 
affect,bless* 
posemo,bless* 
relig,bless* 
percept,blind* 
see,blind* 
bio,blind* 
health,blind* 
affect,bliss* 
posemo,bliss* 
leisure,blockbuster* 
leisure,blog* 
adj,blonde 
percept,blonde 
see,blonde 
bio,blood 
body,blood 
bio,bloody 
body,bloody 
bio,blowjob* 
sexual,blowjob* 
leisure,blu-ray* 
adj,blue 
percept,blue 
see,blue 
cogproc,blur* 
tentat,blur* 
leisure,blur* 
bio,bodi* 
body,bodi* 
bio,body* 
body,body* 
social,boi 
male,boi 
bio,boil* 
affect,bold 
posemo,bold 
drives,bold 
reward,bold 
adj,bolder 
compare,bolder 
affect,bolder 
posemo,bolder 
adj,boldest 
compare,boldest 
affect,boldest 
posemo,boldest 
affect,boldly 
posemo,boldly 
bio,bollock* 
body,bollock* 
bio,bone 
body,bone 
bio,boner* 
body,boner* 
sexual,boner* 
bio,bones 
body,bones 
leisure,bong 
affect,bonus* 
posemo,bonus* 
drives,bonus* 
achiev,bonus* 
reward,bonus* 
money,bonus* 
bio,bony 
body,bony 
bio,boob* 
body,boob* 
sexual,boob* 
work,book* 
leisure,book* 
percept,boom* 
hear,boom* 
bio,booty 
body,booty 
bio,booz* 
ingest,booz* 
leisure,booz* 
cogproc,border* 
tentat,border* 
relativ,border* 
space,border* 
affect,bore* 
negemo,bore* 
adj,boring 
affect,boring 
negemo,boring 
verb,born 
focuspast,born 
relativ,born 
time,born 
money,borrow* 
drives,boss 
power,boss 
work,boss 
drives,bossed 
power,bossed 
work,bossed 
cogproc,bosses 
cause,bosses 
drives,bosses 
power,bosses 
work,bosses 
adj,bossy 
drives,bossy 
power,bossy 
quant,both 
relativ,both 
space,both 
affect,bother* 
negemo,bother* 
anger,bother* 
adj,bottom 
compare,bottom 
drives,bottom 
power,bottom 
relativ,bottom 
space,bottom 
relativ,bottomless 
space,bottomless 
verb,bought 
focuspast,bought 
money,bought 
focuspresent,bounce 
relativ,bounce 
motion,bounce 
focuspast,bounced 
focuspresent,bounces 
relativ,bounces 
motion,bounces 
relativ,bouncing 
motion,bouncing 
bio,bowel* 
body,bowel* 
leisure,bowling 
social,boy 
male,boy 
social,boy's 
male,boy's 
social,boyfriend* 
friend,boyfriend* 
male,boyfriend* 
drives,boyfriend* 
affiliation,boyfriend* 
social,boyhood 
male,boyhood 
social,boyish 
male,boyish 
social,boys 
male,boys 
bio,brain* 
body,brain* 
affect,brave 
posemo,brave 
verb,braved 
affect,braved 
posemo,braved 
focuspast,braved 
adj,braver 
compare,braver 
affect,braver 
posemo,braver 
affect,bravery 
posemo,bravery 
affect,braves 
posemo,braves 
adj,bravest 
compare,bravest 
affect,bravest 
posemo,bravest 
bio,bread 
ingest,bread 
relativ,breadth 
space,breadth 
relativ,break 
bio,breakfast* 
ingest,breakfast* 
social,breakup 
drives,breakup 
affiliation,breakup 
bio,breast* 
body,breast* 
sexual,breast* 
bio,breath* 
body,breath* 
social,bride* 
female,bride* 
relativ,brief 
motion,brief 
time,brief 
function,briefly 
adverb,briefly 
relativ,briefly 
motion,briefly 
time,briefly 
affect,bright 
posemo,bright 
percept,bright 
see,bright 
adj,brighter 
compare,brighter 
percept,brighter 
see,brighter 
adj,brightest 
compare,brightest 
percept,brightest 
see,brightest 
percept,brightness 
see,brightness 
affect,brilliance* 
posemo,brilliance* 
adj,brilliant 
affect,brilliant 
